[1] 299m:59s to go...
---- Running throughput benchmarks (higher is better) ----
     boost::lockfree::spsc_queue, 1,s:  92,805,012 msg/sec
     moodycamel::ConcurrentQueue, 3,s:   7,745,629 msg/sec
     moodycamel::ConcurrentQueue, 3,i:   9,110,880 msg/sec
     moodycamel::ConcurrentQueue, 4,s:   7,452,749 msg/sec
     moodycamel::ConcurrentQueue, 4,i:   9,496,126 msg/sec
     moodycamel::ConcurrentQueue, 5,s:   8,147,252 msg/sec
     moodycamel::ConcurrentQueue, 5,i:  14,983,441 msg/sec
     moodycamel::ConcurrentQueue, 6,s:   7,940,878 msg/sec
     moodycamel::ConcurrentQueue, 6,i:   9,953,528 msg/sec
     moodycamel::ConcurrentQueue, 7,s:   8,499,828 msg/sec
     moodycamel::ConcurrentQueue, 7,i:  23,308,848 msg/sec
     moodycamel::ConcurrentQueue, 8,s:   8,512,840 msg/sec
     moodycamel::ConcurrentQueue, 8,i:  10,120,547 msg/sec
                pthread_spinlock, 1,s:  19,436,308 msg/sec
                pthread_spinlock, 1,i:  19,292,996 msg/sec
                pthread_spinlock, 2,s:   5,495,526 msg/sec
                pthread_spinlock, 2,i:   5,884,864 msg/sec
                pthread_spinlock, 3,s:   4,930,268 msg/sec
                pthread_spinlock, 3,i:   4,695,501 msg/sec
                pthread_spinlock, 4,s:   4,177,216 msg/sec
                pthread_spinlock, 4,i:   3,797,807 msg/sec
                pthread_spinlock, 5,s:   2,542,199 msg/sec
                pthread_spinlock, 5,i:   2,985,088 msg/sec
                pthread_spinlock, 6,s:   1,548,234 msg/sec
                pthread_spinlock, 6,i:   2,787,109 msg/sec
                pthread_spinlock, 7,s:   1,810,240 msg/sec
                pthread_spinlock, 7,i:   2,902,371 msg/sec
                pthread_spinlock, 8,s:   1,232,429 msg/sec
                pthread_spinlock, 8,i:   2,274,752 msg/sec
                      std::mutex, 1,s:   7,545,710 msg/sec
                      std::mutex, 1,i:   7,471,521 msg/sec
                      std::mutex, 2,s:   4,806,749 msg/sec
                      std::mutex, 2,i:   4,585,776 msg/sec
                      std::mutex, 3,s:   2,673,850 msg/sec
                      std::mutex, 3,i:   2,687,438 msg/sec
                      std::mutex, 4,s:   2,529,856 msg/sec
                      std::mutex, 4,i:   2,513,251 msg/sec
                      std::mutex, 5,s:   2,401,330 msg/sec
                      std::mutex, 5,i:   2,388,411 msg/sec
                      std::mutex, 6,s:   2,306,694 msg/sec
                      std::mutex, 6,i:   2,249,673 msg/sec
                      std::mutex, 7,s:   2,118,973 msg/sec
                      std::mutex, 7,i:   2,110,178 msg/sec
                      std::mutex, 8,s:   2,051,706 msg/sec
                      std::mutex, 8,i:   2,010,971 msg/sec
                 tbb::spin_mutex, 1,s:  41,818,782 msg/sec
                 tbb::spin_mutex, 1,i:  41,409,033 msg/sec
                 tbb::spin_mutex, 2,s:  10,227,257 msg/sec
                 tbb::spin_mutex, 2,i:   9,386,316 msg/sec
                 tbb::spin_mutex, 3,s:   6,018,009 msg/sec
                 tbb::spin_mutex, 3,i:   5,562,612 msg/sec
                 tbb::spin_mutex, 4,s:   4,105,266 msg/sec
                 tbb::spin_mutex, 4,i:   3,909,199 msg/sec
                 tbb::spin_mutex, 5,s:   3,100,705 msg/sec
                 tbb::spin_mutex, 5,i:   3,074,227 msg/sec
                 tbb::spin_mutex, 6,s:   2,556,601 msg/sec
                 tbb::spin_mutex, 6,i:   2,584,048 msg/sec
                 tbb::spin_mutex, 7,s:   2,002,594 msg/sec
                 tbb::spin_mutex, 7,i:   2,135,745 msg/sec
                 tbb::spin_mutex, 8,s:   1,596,021 msg/sec
                 tbb::spin_mutex, 8,i:   1,808,073 msg/sec
   tbb::concurrent_bounded_queue, 1,s:  13,272,044 msg/sec
   tbb::concurrent_bounded_queue, 1,i:  13,290,219 msg/sec
   tbb::concurrent_bounded_queue, 2,s:   6,254,626 msg/sec
   tbb::concurrent_bounded_queue, 2,i:   6,662,916 msg/sec
   tbb::concurrent_bounded_queue, 3,s:   4,888,417 msg/sec
   tbb::concurrent_bounded_queue, 3,i:   4,659,289 msg/sec
   tbb::concurrent_bounded_queue, 4,s:   4,077,660 msg/sec
   tbb::concurrent_bounded_queue, 4,i:   3,505,170 msg/sec
   tbb::concurrent_bounded_queue, 5,s:   3,542,565 msg/sec
   tbb::concurrent_bounded_queue, 5,i:   2,909,922 msg/sec
   tbb::concurrent_bounded_queue, 6,s:   2,942,154 msg/sec
   tbb::concurrent_bounded_queue, 6,i:   2,408,625 msg/sec
   tbb::concurrent_bounded_queue, 7,s:   2,537,361 msg/sec
   tbb::concurrent_bounded_queue, 7,i:   2,098,968 msg/sec
   tbb::concurrent_bounded_queue, 8,s:   2,159,176 msg/sec
   tbb::concurrent_bounded_queue, 8,i:   1,814,066 msg/sec
     xenium::michael_scott_queue, 1,s:  10,224,426 msg/sec
     xenium::michael_scott_queue, 1,i:   9,888,340 msg/sec
     xenium::michael_scott_queue, 2,s:   6,607,739 msg/sec
     xenium::michael_scott_queue, 2,i:   5,053,395 msg/sec
     xenium::michael_scott_queue, 3,s:   4,102,187 msg/sec
     xenium::michael_scott_queue, 3,i:   3,618,605 msg/sec
     xenium::michael_scott_queue, 4,s:   3,384,167 msg/sec
     xenium::michael_scott_queue, 4,i:   2,811,007 msg/sec
     xenium::michael_scott_queue, 5,s:   2,733,698 msg/sec
     xenium::michael_scott_queue, 5,i:   2,446,090 msg/sec
     xenium::michael_scott_queue, 6,s:   2,310,099 msg/sec
     xenium::michael_scott_queue, 6,i:   1,980,264 msg/sec
     xenium::michael_scott_queue, 7,s:   1,979,781 msg/sec
     xenium::michael_scott_queue, 7,i:   1,665,513 msg/sec
     xenium::michael_scott_queue, 8,s:   1,700,995 msg/sec
     xenium::michael_scott_queue, 8,i:   1,440,991 msg/sec
         xenium::ramalhete_queue, 1,s:  20,296,169 msg/sec
         xenium::ramalhete_queue, 1,i:  20,378,012 msg/sec
         xenium::ramalhete_queue, 2,s:  23,916,945 msg/sec
         xenium::ramalhete_queue, 2,i:  17,006,039 msg/sec
         xenium::ramalhete_queue, 3,s:  19,589,747 msg/sec
         xenium::ramalhete_queue, 3,i:  17,588,696 msg/sec
         xenium::ramalhete_queue, 4,s:  18,572,254 msg/sec
         xenium::ramalhete_queue, 4,i:  17,554,108 msg/sec
         xenium::ramalhete_queue, 5,s:  18,698,208 msg/sec
         xenium::ramalhete_queue, 5,i:  18,586,731 msg/sec
         xenium::ramalhete_queue, 6,s:  18,432,752 msg/sec
         xenium::ramalhete_queue, 6,i:  19,148,178 msg/sec
         xenium::ramalhete_queue, 7,s:  17,720,173 msg/sec
         xenium::ramalhete_queue, 7,i:  18,808,605 msg/sec
         xenium::ramalhete_queue, 8,s:  17,520,112 msg/sec
         xenium::ramalhete_queue, 8,i:  17,873,906 msg/sec
    xenium::vyukov_bounded_queue, 1,s:  51,751,316 msg/sec
    xenium::vyukov_bounded_queue, 1,i:  55,127,824 msg/sec
    xenium::vyukov_bounded_queue, 2,s:  16,148,420 msg/sec
    xenium::vyukov_bounded_queue, 2,i:  10,310,949 msg/sec
    xenium::vyukov_bounded_queue, 3,s:   9,151,921 msg/sec
    xenium::vyukov_bounded_queue, 3,i:   7,558,484 msg/sec
    xenium::vyukov_bounded_queue, 4,s:   8,598,489 msg/sec
    xenium::vyukov_bounded_queue, 4,i:   6,315,414 msg/sec
    xenium::vyukov_bounded_queue, 5,s:   6,916,442 msg/sec
    xenium::vyukov_bounded_queue, 5,i:   5,832,034 msg/sec
    xenium::vyukov_bounded_queue, 6,s:   5,753,959 msg/sec
    xenium::vyukov_bounded_queue, 6,i:   4,761,135 msg/sec
    xenium::vyukov_bounded_queue, 7,s:   4,944,462 msg/sec
    xenium::vyukov_bounded_queue, 7,i:   4,380,037 msg/sec
    xenium::vyukov_bounded_queue, 8,s:   4,298,271 msg/sec
    xenium::vyukov_bounded_queue, 8,i:   3,863,969 msg/sec
                     AtomicQueue, 1,s:  58,104,672 msg/sec
                     AtomicQueue, 1,i:  59,334,715 msg/sec
                     AtomicQueue, 2,s:   7,673,049 msg/sec
                     AtomicQueue, 2,i:   6,110,181 msg/sec
                     AtomicQueue, 3,s:   5,437,593 msg/sec
                     AtomicQueue, 3,i:   4,418,172 msg/sec
                     AtomicQueue, 4,s:   4,382,714 msg/sec
                     AtomicQueue, 4,i:   3,402,244 msg/sec
                     AtomicQueue, 5,s:   3,550,837 msg/sec
                     AtomicQueue, 5,i:   2,826,757 msg/sec
                     AtomicQueue, 6,s:   3,028,353 msg/sec
                     AtomicQueue, 6,i:   2,396,219 msg/sec
                     AtomicQueue, 7,s:   2,532,393 msg/sec
                     AtomicQueue, 7,i:   2,086,488 msg/sec
                     AtomicQueue, 8,s:   2,244,958 msg/sec
                     AtomicQueue, 8,i:   1,821,989 msg/sec
                    AtomicQueueB, 1,s:  40,810,529 msg/sec
                    AtomicQueueB, 1,i:  41,439,371 msg/sec
                    AtomicQueueB, 2,s:   7,608,981 msg/sec
                    AtomicQueueB, 2,i:   6,070,591 msg/sec
                    AtomicQueueB, 3,s:   5,370,795 msg/sec
                    AtomicQueueB, 3,i:   4,417,945 msg/sec
                    AtomicQueueB, 4,s:   4,373,299 msg/sec
                    AtomicQueueB, 4,i:   3,435,236 msg/sec
                    AtomicQueueB, 5,s:   3,508,326 msg/sec
                    AtomicQueueB, 5,i:   2,822,675 msg/sec
                    AtomicQueueB, 6,s:   3,012,120 msg/sec
                    AtomicQueueB, 6,i:   2,412,191 msg/sec
                    AtomicQueueB, 7,s:   2,526,059 msg/sec
                    AtomicQueueB, 7,i:   2,093,716 msg/sec
                    AtomicQueueB, 8,s:   2,241,180 msg/sec
                    AtomicQueueB, 8,i:   1,832,379 msg/sec
             OptimistAtomicQueue, 1,s: 469,911,562 msg/sec
             OptimistAtomicQueue, 1,i: 493,359,382 msg/sec
             OptimistAtomicQueue, 2,s:  51,603,421 msg/sec
             OptimistAtomicQueue, 2,i:  28,779,529 msg/sec
             OptimistAtomicQueue, 3,s:  31,866,282 msg/sec
             OptimistAtomicQueue, 3,i:  26,182,905 msg/sec
             OptimistAtomicQueue, 4,s:  34,434,289 msg/sec
             OptimistAtomicQueue, 4,i:  26,849,428 msg/sec
             OptimistAtomicQueue, 5,s:  31,523,585 msg/sec
             OptimistAtomicQueue, 5,i:  26,152,351 msg/sec
             OptimistAtomicQueue, 6,s:  33,117,056 msg/sec
             OptimistAtomicQueue, 6,i:  25,288,837 msg/sec
             OptimistAtomicQueue, 7,s:  29,208,325 msg/sec
             OptimistAtomicQueue, 7,i:  24,337,496 msg/sec
             OptimistAtomicQueue, 8,s:  30,482,804 msg/sec
             OptimistAtomicQueue, 8,i:  23,136,451 msg/sec
            OptimistAtomicQueueB, 1,s: 179,864,526 msg/sec
            OptimistAtomicQueueB, 1,i: 189,373,137 msg/sec
            OptimistAtomicQueueB, 2,s:  40,951,684 msg/sec
            OptimistAtomicQueueB, 2,i:  25,598,296 msg/sec
            OptimistAtomicQueueB, 3,s:  31,943,032 msg/sec
            OptimistAtomicQueueB, 3,i:  26,120,778 msg/sec
            OptimistAtomicQueueB, 4,s:  34,243,268 msg/sec
            OptimistAtomicQueueB, 4,i:  26,350,002 msg/sec
            OptimistAtomicQueueB, 5,s:  31,777,324 msg/sec
            OptimistAtomicQueueB, 5,i:  25,643,050 msg/sec
            OptimistAtomicQueueB, 6,s:  33,192,287 msg/sec
            OptimistAtomicQueueB, 6,i:  25,124,151 msg/sec
            OptimistAtomicQueueB, 7,s:  30,237,229 msg/sec
            OptimistAtomicQueueB, 7,i:  23,987,406 msg/sec
            OptimistAtomicQueueB, 8,s:  30,341,002 msg/sec
            OptimistAtomicQueueB, 8,i:  23,163,923 msg/sec
                    AtomicQueue2, 1,s:  52,166,473 msg/sec
                    AtomicQueue2, 1,i:  53,736,514 msg/sec
                    AtomicQueue2, 2,s:   6,855,891 msg/sec
                    AtomicQueue2, 2,i:   5,991,530 msg/sec
                    AtomicQueue2, 3,s:   5,159,497 msg/sec
                    AtomicQueue2, 3,i:   4,328,398 msg/sec
                    AtomicQueue2, 4,s:   4,223,058 msg/sec
                    AtomicQueue2, 4,i:   3,367,836 msg/sec
                    AtomicQueue2, 5,s:   3,424,424 msg/sec
                    AtomicQueue2, 5,i:   2,802,430 msg/sec
                    AtomicQueue2, 6,s:   2,947,468 msg/sec
                    AtomicQueue2, 6,i:   2,379,693 msg/sec
                    AtomicQueue2, 7,s:   2,463,675 msg/sec
                    AtomicQueue2, 7,i:   2,073,849 msg/sec
                    AtomicQueue2, 8,s:   2,169,572 msg/sec
                    AtomicQueue2, 8,i:   1,808,083 msg/sec
                   AtomicQueueB2, 1,s:  40,817,725 msg/sec
                   AtomicQueueB2, 1,i:  41,293,749 msg/sec
                   AtomicQueueB2, 2,s:   7,196,566 msg/sec
                   AtomicQueueB2, 2,i:   6,048,506 msg/sec
                   AtomicQueueB2, 3,s:   5,235,779 msg/sec
                   AtomicQueueB2, 3,i:   4,335,544 msg/sec
                   AtomicQueueB2, 4,s:   4,237,762 msg/sec
                   AtomicQueueB2, 4,i:   3,387,756 msg/sec
                   AtomicQueueB2, 5,s:   3,398,222 msg/sec
                   AtomicQueueB2, 5,i:   2,805,920 msg/sec
                   AtomicQueueB2, 6,s:   2,937,389 msg/sec
                   AtomicQueueB2, 6,i:   2,393,312 msg/sec
                   AtomicQueueB2, 7,s:   2,469,886 msg/sec
                   AtomicQueueB2, 7,i:   2,067,885 msg/sec
                   AtomicQueueB2, 8,s:   2,179,231 msg/sec
                   AtomicQueueB2, 8,i:   1,813,599 msg/sec
            OptimistAtomicQueue2, 1,s: 214,062,172 msg/sec
            OptimistAtomicQueue2, 1,i: 216,040,581 msg/sec
            OptimistAtomicQueue2, 2,s:  19,006,145 msg/sec
            OptimistAtomicQueue2, 2,i:  15,559,208 msg/sec
            OptimistAtomicQueue2, 3,s:  21,853,707 msg/sec
            OptimistAtomicQueue2, 3,i:  21,310,962 msg/sec
            OptimistAtomicQueue2, 4,s:  30,224,556 msg/sec
            OptimistAtomicQueue2, 4,i:  23,655,806 msg/sec
            OptimistAtomicQueue2, 5,s:  27,024,981 msg/sec
            OptimistAtomicQueue2, 5,i:  25,306,230 msg/sec
            OptimistAtomicQueue2, 6,s:  32,211,779 msg/sec
            OptimistAtomicQueue2, 6,i:  24,283,181 msg/sec
            OptimistAtomicQueue2, 7,s:  29,535,349 msg/sec
            OptimistAtomicQueue2, 7,i:  24,190,441 msg/sec
            OptimistAtomicQueue2, 8,s:  29,921,002 msg/sec
            OptimistAtomicQueue2, 8,i:  22,711,457 msg/sec
           OptimistAtomicQueueB2, 1,s:  70,133,112 msg/sec
           OptimistAtomicQueueB2, 1,i:  73,850,443 msg/sec
           OptimistAtomicQueueB2, 2,s:  19,583,758 msg/sec
           OptimistAtomicQueueB2, 2,i:  15,887,794 msg/sec
           OptimistAtomicQueueB2, 3,s:  23,362,235 msg/sec
           OptimistAtomicQueueB2, 3,i:  21,492,828 msg/sec
           OptimistAtomicQueueB2, 4,s:  29,927,754 msg/sec
           OptimistAtomicQueueB2, 4,i:  23,107,923 msg/sec
           OptimistAtomicQueueB2, 5,s:  26,986,153 msg/sec
           OptimistAtomicQueueB2, 5,i:  24,601,032 msg/sec
           OptimistAtomicQueueB2, 6,s:  32,025,184 msg/sec
           OptimistAtomicQueueB2, 6,i:  24,114,639 msg/sec
           OptimistAtomicQueueB2, 7,s:  29,113,696 msg/sec
           OptimistAtomicQueueB2, 7,i:  23,415,089 msg/sec
           OptimistAtomicQueueB2, 8,s:  29,721,886 msg/sec
           OptimistAtomicQueueB2, 8,i:  22,394,179 msg/sec

---- Running ping-pong benchmarks (lower is better) ----
     boost::lockfree::spsc_queue: 0.000000109 sec/round-trip
          boost::lockfree::queue: 0.000000205 sec/round-trip
                  TicketSpinlock: 0.000000205 sec/round-trip
   moodycamel::ReaderWriterQueue: 0.000000095 sec/round-trip
     moodycamel::ConcurrentQueue: 0.000000129 sec/round-trip
                pthread_spinlock: 0.000000212 sec/round-trip
                      std::mutex: 0.000000596 sec/round-trip
                 tbb::spin_mutex: 0.000000200 sec/round-trip
   tbb::concurrent_bounded_queue: 0.000000192 sec/round-trip
     xenium::michael_scott_queue: 0.000000285 sec/round-trip
         xenium::ramalhete_queue: 0.000000144 sec/round-trip
    xenium::vyukov_bounded_queue: 0.000000128 sec/round-trip
                     AtomicQueue: 0.000000081 sec/round-trip
                    AtomicQueueB: 0.000000096 sec/round-trip
             OptimistAtomicQueue: 0.000000071 sec/round-trip
            OptimistAtomicQueueB: 0.000000075 sec/round-trip
                    AtomicQueue2: 0.000000099 sec/round-trip
                   AtomicQueueB2: 0.000000100 sec/round-trip
            OptimistAtomicQueue2: 0.000000082 sec/round-trip
           OptimistAtomicQueueB2: 0.000000081 sec/round-trip

[2] 298m:15s to go...
---- Running throughput benchmarks (higher is better) ----
     boost::lockfree::spsc_queue, 1,s:  91,448,136 msg/sec
     boost::lockfree::spsc_queue, 1,i:  87,535,627 msg/sec
          boost::lockfree::queue, 1,s:   9,363,865 msg/sec
          boost::lockfree::queue, 1,i:   9,355,907 msg/sec
          boost::lockfree::queue, 2,s:   3,349,718 msg/sec
          boost::lockfree::queue, 2,i:   3,402,648 msg/sec
          boost::lockfree::queue, 3,s:   2,968,825 msg/sec
          boost::lockfree::queue, 3,i:   3,012,455 msg/sec
          boost::lockfree::queue, 4,s:   2,296,566 msg/sec
          boost::lockfree::queue, 4,i:   2,333,383 msg/sec
          boost::lockfree::queue, 5,s:   1,932,994 msg/sec
          boost::lockfree::queue, 5,i:   1,948,993 msg/sec
          boost::lockfree::queue, 6,s:   1,330,983 msg/sec
          boost::lockfree::queue, 6,i:   1,417,722 msg/sec
          boost::lockfree::queue, 7,s:   1,127,937 msg/sec
          boost::lockfree::queue, 7,i:   1,201,094 msg/sec
          boost::lockfree::queue, 8,s:     908,906 msg/sec
          boost::lockfree::queue, 8,i:   1,060,013 msg/sec
                  TicketSpinlock, 1,s:   7,994,074 msg/sec
                  TicketSpinlock, 1,i:   8,005,475 msg/sec
                  TicketSpinlock, 2,s:   3,213,036 msg/sec
                  TicketSpinlock, 2,i:   3,277,159 msg/sec
                  TicketSpinlock, 3,s:   2,673,450 msg/sec
                  TicketSpinlock, 3,i:   2,638,146 msg/sec
                  TicketSpinlock, 4,s:   2,183,858 msg/sec
                  TicketSpinlock, 4,i:   2,224,583 msg/sec
                  TicketSpinlock, 5,s:   1,848,893 msg/sec
                  TicketSpinlock, 5,i:   1,867,546 msg/sec
                  TicketSpinlock, 6,s:   1,635,781 msg/sec
                  TicketSpinlock, 6,i:   1,651,194 msg/sec
                  TicketSpinlock, 7,s:   1,409,547 msg/sec
                  TicketSpinlock, 7,i:   1,420,320 msg/sec
                  TicketSpinlock, 8,s:   1,259,910 msg/sec
                  TicketSpinlock, 8,i:   1,269,483 msg/sec
   moodycamel::ReaderWriterQueue, 1,s: 297,516,333 msg/sec
   moodycamel::ReaderWriterQueue, 1,i: 302,980,724 msg/sec
     moodycamel::ConcurrentQueue, 1,s:  15,369,964 msg/sec
     moodycamel::ConcurrentQueue, 1,i:  15,494,377 msg/sec
     moodycamel::ConcurrentQueue, 2,s:   7,876,476 msg/sec
     moodycamel::ConcurrentQueue, 2,i:   8,949,694 msg/sec
     moodycamel::ConcurrentQueue, 3,s:   7,539,952 msg/sec
     moodycamel::ConcurrentQueue, 3,i:   8,808,372 msg/sec
     moodycamel::ConcurrentQueue, 4,s:   7,163,054 msg/sec
     moodycamel::ConcurrentQueue, 4,i:   9,205,758 msg/sec
     moodycamel::ConcurrentQueue, 5,s:   7,945,963 msg/sec
     moodycamel::ConcurrentQueue, 5,i:  14,653,466 msg/sec
     moodycamel::ConcurrentQueue, 6,s:   7,568,977 msg/sec
     moodycamel::ConcurrentQueue, 6,i:   9,543,534 msg/sec
     moodycamel::ConcurrentQueue, 7,s:   8,054,096 msg/sec
     moodycamel::ConcurrentQueue, 7,i:   9,722,696 msg/sec
     moodycamel::ConcurrentQueue, 8,s:   8,135,722 msg/sec
     moodycamel::ConcurrentQueue, 8,i:   9,662,375 msg/sec
                pthread_spinlock, 1,s:  20,123,582 msg/sec
                pthread_spinlock, 1,i:  19,301,069 msg/sec
                pthread_spinlock, 2,s:   5,657,985 msg/sec
                pthread_spinlock, 2,i:   5,845,520 msg/sec
                pthread_spinlock, 3,s:   4,798,292 msg/sec
                pthread_spinlock, 3,i:   4,427,360 msg/sec
                pthread_spinlock, 4,s:   4,051,121 msg/sec
                pthread_spinlock, 4,i:   3,728,635 msg/sec
                pthread_spinlock, 5,s:   2,493,219 msg/sec
                pthread_spinlock, 5,i:   2,687,715 msg/sec
                pthread_spinlock, 6,s:   1,517,181 msg/sec
                pthread_spinlock, 6,i:   2,661,497 msg/sec
                pthread_spinlock, 7,s:   1,765,893 msg/sec
                pthread_spinlock, 7,i:   2,862,222 msg/sec
                pthread_spinlock, 8,s:   1,185,118 msg/sec
                pthread_spinlock, 8,i:   2,524,802 msg/sec
                      std::mutex, 1,s:   7,390,507 msg/sec
                      std::mutex, 1,i:   7,358,349 msg/sec
                      std::mutex, 2,s:   4,500,598 msg/sec
                      std::mutex, 2,i:   4,488,373 msg/sec
                      std::mutex, 3,s:   2,601,486 msg/sec
                      std::mutex, 3,i:   2,599,976 msg/sec
                      std::mutex, 4,s:   2,391,748 msg/sec
                      std::mutex, 4,i:   2,386,185 msg/sec
                      std::mutex, 5,s:   2,301,829 msg/sec
                      std::mutex, 5,i:   2,291,055 msg/sec
                      std::mutex, 6,s:   2,204,139 msg/sec
                      std::mutex, 6,i:   2,143,451 msg/sec
                      std::mutex, 7,s:   2,079,347 msg/sec
                      std::mutex, 7,i:   2,035,147 msg/sec
                      std::mutex, 8,s:   1,961,752 msg/sec
                      std::mutex, 8,i:   1,911,980 msg/sec
                 tbb::spin_mutex, 1,s:  41,523,721 msg/sec
                 tbb::spin_mutex, 1,i:  41,365,867 msg/sec
                 tbb::spin_mutex, 2,s:  10,078,131 msg/sec
                 tbb::spin_mutex, 2,i:   9,258,458 msg/sec
                 tbb::spin_mutex, 3,s:   5,838,351 msg/sec
                 tbb::spin_mutex, 3,i:   5,451,106 msg/sec
                 tbb::spin_mutex, 4,s:   3,998,285 msg/sec
                 tbb::spin_mutex, 4,i:   3,832,682 msg/sec
                 tbb::spin_mutex, 5,s:   3,040,384 msg/sec
                 tbb::spin_mutex, 5,i:   2,998,929 msg/sec
                 tbb::spin_mutex, 6,s:   2,497,050 msg/sec
                 tbb::spin_mutex, 6,i:   2,527,556 msg/sec
                 tbb::spin_mutex, 7,s:   1,974,647 msg/sec
                 tbb::spin_mutex, 7,i:   2,128,808 msg/sec
                 tbb::spin_mutex, 8,s:   1,578,420 msg/sec
                 tbb::spin_mutex, 8,i:   1,750,985 msg/sec
   tbb::concurrent_bounded_queue, 1,s:  13,222,427 msg/sec
   tbb::concurrent_bounded_queue, 1,i:  13,159,314 msg/sec
   tbb::concurrent_bounded_queue, 2,s:   6,049,029 msg/sec
   tbb::concurrent_bounded_queue, 2,i:   6,575,354 msg/sec
   tbb::concurrent_bounded_queue, 3,s:   4,805,264 msg/sec
   tbb::concurrent_bounded_queue, 3,i:   4,587,246 msg/sec
   tbb::concurrent_bounded_queue, 4,s:   4,014,000 msg/sec
   tbb::concurrent_bounded_queue, 4,i:   3,440,738 msg/sec
   tbb::concurrent_bounded_queue, 5,s:   3,366,569 msg/sec
   tbb::concurrent_bounded_queue, 5,i:   2,854,532 msg/sec
   tbb::concurrent_bounded_queue, 6,s:   2,859,687 msg/sec
   tbb::concurrent_bounded_queue, 6,i:   2,356,621 msg/sec
   tbb::concurrent_bounded_queue, 7,s:   2,532,646 msg/sec
   tbb::concurrent_bounded_queue, 7,i:   2,052,143 msg/sec
   tbb::concurrent_bounded_queue, 8,s:   2,119,060 msg/sec
   tbb::concurrent_bounded_queue, 8,i:   1,781,302 msg/sec
     xenium::michael_scott_queue, 1,s:   9,917,045 msg/sec
     xenium::michael_scott_queue, 1,i:   9,849,338 msg/sec
     xenium::michael_scott_queue, 2,s:   6,543,036 msg/sec
     xenium::michael_scott_queue, 2,i:   4,939,147 msg/sec
     xenium::michael_scott_queue, 3,s:   4,113,789 msg/sec
     xenium::michael_scott_queue, 3,i:   3,595,702 msg/sec
     xenium::michael_scott_queue, 4,s:   3,330,117 msg/sec
     xenium::michael_scott_queue, 4,i:   2,783,017 msg/sec
     xenium::michael_scott_queue, 5,s:   2,577,867 msg/sec
     xenium::michael_scott_queue, 5,i:   2,305,498 msg/sec
     xenium::michael_scott_queue, 6,s:   2,366,025 msg/sec
     xenium::michael_scott_queue, 6,i:   1,941,516 msg/sec
     xenium::michael_scott_queue, 7,s:   1,928,295 msg/sec
     xenium::michael_scott_queue, 7,i:   1,621,715 msg/sec
     xenium::michael_scott_queue, 8,s:   1,703,695 msg/sec
     xenium::michael_scott_queue, 8,i:   1,409,749 msg/sec
         xenium::ramalhete_queue, 1,s:  20,079,224 msg/sec
         xenium::ramalhete_queue, 1,i:  20,296,590 msg/sec
         xenium::ramalhete_queue, 2,s:  18,692,755 msg/sec
         xenium::ramalhete_queue, 2,i:  16,945,258 msg/sec
